"Director","FirstName","ExampleMovie"
"Abhishek Sharma","Abhishek","Tere Bin Laden Dead or Alive"
"Abolfazl Jalili","Abolfazl","Full or Empty"
"Álex de la Iglesia","Álex","Witching and Bitching"
"André van Heerden","André","Dragons or Dinosaurs?"
"Ang Lee","Ang","Sense and Sensibility"
"Anne-Marie Etienne","Anne-Marie","Sooner or Later"
"Arnaud Desplechin","Arnaud","My Sex Life... or How I Got Into an Argument"
"Arnaud Larrieu","Arnaud","To Paint or Make Love"
"Bahrudin 'Bato' Cengic","Bahrudin","Heads or Tails"
"Barbet Schroeder","Barbet","Before and After"
"Britt Allcroft","Britt","Thomas and the Magic Railroad"
"Çagan Irmak","Çagan","My Father and My Son"
"Cédric Klapisch","Cédric","Not for, or Against (Quite the Contrary)"
"Cem Yilmaz","Cem","Ali Baba and the Seven Dwarfs"
"Cesc Gay","Cesc","Nico and Dani"
"Chris Boyle","Chris","Airlock, or How to Say Goodbye in Space"
"Chris Columbus","Chris","Harry Potter and the Sorcerer's Stone"
"Chris Lavis","Chris","Higglety Pigglety Pop! or There Must Be More to Life"
"Chris Nelson","Chris","Date and Switch"
"Chris Tyrrell","Chris","Naughty or Nice"
"Chris W. Hill","Chris","Ride or Die"
"Chuan Lu","Chuan","City of Life and Death"
"C.M. Talkington","C.M.","Love and a .45"
"Corneliu Porumboiu","Corneliu","When Evening Falls on Bucharest or Metabolism"
"Danièle Huillet","Danièle","Eyes Do Not Want to Close at All Times, or, Perhaps One Day Rome Will Allow Herself to Choose in Her Turn"
"Del Lord","Del","Ten Dollars or Ten Days"
"Dome Karukoski","Dome","Beauty and the Bastard"
"Duccio Tessari","Duccio","Alive or Preferably Dead"
"D.W. Griffith","D.W.","The Avenging Conscience: or 'Thou Shalt Not Kill'"
"Eldar Shengelaia","Eldar","Blue Mountains, or Unbelievable Story"
"Elem Klimov","Elem","Welcome, or No Trespassing"
"Éric Rohmer","Éric","Presentation, or Charlotte and Her Steak"
"Fei Lung Huang","Fei","Wanted! Bruce Li, Dead or Alive"
"François Ozon","François","Truth or Dare"
"François Truffaut","François","Jules and Jim"
"Friz Freleng","Friz","Trick or Tweet"
"Gaëtan Brizzi","Gaëtan","Asterix and Caesar"
"Geneviève Hamon","Geneviève","Acera, or the Witches' Dance"
"Glasgow Phillips","Glasgow","Undead or Alive: A Zombedy"
"G. Stubbs","G.","With or Without You"
"Guel Arraes","Guel","Lisbela and the Prisoner"
"Gurinder Chadha","Gurinder","Angus, Thongs and Perfect Snogging"
"Hark Tsui","Hark","Time and Tide"
"Hirokazu Ichimura","Hirokazu","Crimson Bat - Oichi: Wanted, Dead or Alive"
"Ingmar Bergman","Ingmar","Sawdust and Tinsel"
"Jackie Chan","Jackie","Miracles - Mr. Canton and Lady Rose"
"Jan Wellmann","Jan","Sobhraj, or How to Be Friends with a Serial Killer"
"Jaromil Jires","Jaromil","Valerie and Her Week of Wonders"
"Jean-Luc Godard","Jean-Luc","Two or Three Things I Know About Her..."
"Jean-Pierre Jeunet","Jean-Pierre","The Young and Prodigious T.S. Spivet"
"Jean-Pierre Mocky","Jean-Pierre","Your Money or Your Life"
"Jindrich Honzl","Jindrich","Your Money or Your Life"
"Jirí Chlumský","Jirí","Halt, or I'll Miss!"
"J.L. Aronson","J.L.","Danielson: A Family Movie (or, Make a Joyful Noise Here)"
"Jody Hill","Jody","Observe and Report"
"Joon-ik Lee","Joon-ik","The King and the Clown"
"J. Randall Argue","J.","Shoot or Be Shot"
"J. Searle Dawley","J.","The Trainer's Daughter; or, A Race for Love"
"J. Stuart Blackton","J.","Princess Nicotine; or, The Smoke Fairy"
"Kaige Chen","Kaige","The Emperor and the Assassin"
"Karel Reisz","Karel","Saturday Night and Sunday Morning"
"Katsunori Ehara","Katsunori","Dead or Alive 4"
"Kelly Reichardt","Kelly","Wendy and Lucy"
"Kentarô Ohtani","Kentarô","Thirty Lies or So"
"Kerry Conran","Kerry","Sky Captain and the World of Tomorrow"
"Khavn","Khavn","Mondomanila, or: How I Fixed My Hair After a Rather Long Journey"
"Kianoush Ayari","Kianoush","To Be or Not to Be"
"Ki-duk Kim","Ki-duk","Spring, Summer, Fall, Winter... and Spring"
"Kiefer Sutherland","Kiefer","Truth or Consequences, N.M."
"Kihachiro Kawamoto","Kihachiro","Briar-Rose or the Sleeping Beauty"
"Kirati Nakintanon","Kirati","Yes or No 2.5"
"Kôji Masunari","Kôji","Read or Die"
"Lasse Hallström","Lasse","Shall We Go to My Place or Your Place or Each Go Home Alone?"
"Léa Pool","Léa","Lost and Delirious"
"Lech Majewski","Lech","The Mill and the Cross"
"Lee Friedlander","Lee","Give or Take an Inch"
"L.Q. Jones","L.Q.","A Boy and His Dog"
"Luchino Visconti","Luchino","Rocco and His Brothers"
"Mads Larsen Nielsen","Mads","The Day the Women Took Over or I Was a Teenage Neo-Impressionist"
"Malte Ludin","Malte","2 or 3 Things I Know About Him"
"Mami Sunada","Mami","The Kingdom of Dreams and Madness"
"Manoel de Oliveira","Manoel","Benilde or the Virgin Mother"
"Marie-Claude Treilhou","Marie-Claude","Simone Barbes or Virtue"
"Michel Deville","Michel","Tonight or Never"
"Michel Drach","Michel","Elise, or Real Life"
"Michel Ocelot","Michel","Kirikou and the Sorceress"
"Miroslav Momcilovic","Miroslav","Seven and a Half"
"Monkey Punch","Monkey","Rupan sansei: Dead or Alive"
"N.T. Binh","N.T.","Claude Sautet or the Invisible Magic"
"Ollie Bartlett","Ollie","'8 Out of 10 Cats' Does 'Deal or No Deal'"
"Ömer Vargi","Ömer","For Love and Honour"
"Pil-sung Yim","Pil-sung","Hansel and Gretel"
"Ragnheiður Gestsdóttir","Ragnheiður","Bjork: Inner or Deep Part of an Animal or Plant Structure"
"Ramón Menéndez","Ramón","Stand and Deliver"
"Reha Erdem","Reha","Times and Winds"
"René Clair","René","And Then There Were None"
"René Goscinny","René","Asterix and Cleopatra"
"René Veilleux","René","Deal or No Deal"
"Risto Jarva","Risto","Night or Day"
"Rouben Mamoulian","Rouben","Dr. Jekyll and Mr. Hyde"
"Rucha Humnabadkar","Rucha","For Here or to Go?"
"Sammo Kam-Bo Hung","Sammo","Once Upon a Time in China and America"
"Saratswadee Wongsomphet","Saratswadee","Yes or No: Come Back to Me"
"Sergey Bondarchuk","Sergey","War and Peace"
"Shohanor Rahman Shohan","Shohanor","The Speed: Do or Die"
"Shunji Iwai","Shunji","Fireworks, Should We See It from the Side or the Bottom?"
"Shûsuke Kaneko","Shûsuke","Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
"Sijie Dai","Sijie","Balzac and the Little Chinese Seamstress"
"Siu-Tung Ching","Siu-Tung","An Empress and the Warriors"
"Skylar Gordon","Skylar","Ontologica! or a Brief Explanation of Absolutely Everything that is Known about Absolutely Everything"
"Stéphane Berla","Stéphane","Jack and the Cuckoo-Clock Heart"
"Tamás Sas","Tamás","You or Me"
"Terry Gilliam","Terry","Fear and Loathing in Las Vegas"
"Terry Hughes","Terry","For Love or Money"
"Terry McDonough","Terry","An Adventure in Space and Time"
"Togan Gökbakar","Togan","Celal and Ceren"
"Tomás Gutiérrez Alea","Tomás","Strawberry and Chocolate"
"Tomonobu Itagaki","Tomonobu","Dead or Alive Xtreme Beach Volleyball"
"Vadim Perelman","Vadim","House of Sand and Fog"
"Vatroslav Mimica","Vatroslav","Monday or Tuesday"
"Ventura Pons","Ventura","To Die (Or Not)"
"Vitaliy Manskiy","Vitaliy","Motherland or Death"
"Vladimír Slavínský","Vladimír","Girl or Boy?"
"Vojko Anzeljc","Vojko","The Last Supper or How Two Madmen Made a Film"
"Xixi Gao","Xixi","For Love or Money"
"Yee Sing Cheng","Yee","To Suntan or Suicide"
"Zhara Moufid","Zhara","A Portrait of an Artist: The Making of 'Get Rich or Die Tryin'"
"Ziggy Zigowitz Jr.","Ziggy","Rockin' with Seka or... Seka's Cruise"
